name,gender,price
Super Mario,Adventure,59.99
Zelda,Action,49.99
Call of Duty,Shooter,69.99
FIFA,Sports,59.99
Minecraft,Adventure,26.95
The Witcher 3,Role-playing,39.99
Grand Theft Auto V,Action,29.99
Red Dead Redemption 2,Action,49.99
Overwatch,First-Person Shooter,0
The Last of Us Part II,Action-Adventure,59.99
Assassin's Creed Odyssey,Action-Adventure,39.99
Animal Crossing: New Horizons,Simulation,59.99
Dark Souls III,Role-playing,59.99
Madden NFL 21,Sports,49.99
League of Legends,Multiplayer Online Battle Arena,0
Fortnite,Battle Royale,0
Street Fighter V,Fighting,39.99
Super Smash Bros. Ultimate,Fighting,59.99
Skyrim,Role-playing,29.99
Diablo III,Role-playing,19.99
Crash Bandicoot,Nostalgia,39.99
Kingdom Hearts III,Action-Adventure,49.99
Battlefield V,Shooter,39.99
Spyro the Dragon,Nostalgia,29.99
God of War,Action-Adventure,49.99
Final Fantasy XV,Role-playing,39.99
Borderlands 3,Action-Shooter,39.99
The Sims 4,Simulation,29.99
Hitman 3,Action,59.99
Destiny 2,First-Person Shooter,0